Protein ID,Gene,Protein Length,Protein Existence,Description,Protein Probability,Top Peptide Probability,MCF7Kelly10c_5 Intensity,MCF7Kelly10c_6 Intensity,MCF7Kelly10c_7 Intensity,MCF7Kelly10c_8 Intensity,MCF7Kelly1c_5 Intensity,MCF7Kelly1c_6 Intensity,MCF7Kelly1c_7 Intensity,MCF7Kelly1c_8 Intensity,MCF7Kelly2c_5 Intensity,MCF7Kelly2c_6 Intensity,MCF7Kelly2c_7 Intensity,MCF7Kelly2c_8 Intensity
A0A0B4J2D5,GATD3B,268,1:Experimental evidence at protein level,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",1,0.999,211132.81,192334.64,228812.97,234110.17,0,10121.6045,0,0,31842.95,0,3647.2751,51474.312
A0A0B4J2F0,PIGBOS1,54,1:Experimental evidence at protein level,Protein PIGBOS1,0.8872,0.9975,7663.685,0,0,10108.192,0,0,0,0,0,0,0,0
A0A0C4DH25,IGKV3D-20,116,3:Protein inferred from homology,Immunoglobulin kappa variable 3D-20,0.6221,0.988,0,0,0,0,9617.372,0,0,0,0,0,0,0
A0AV96-2,RBM47,524,,Isoform 2 of RNA-binding protein 47,1,0.999,7716.3877,22875.459,26717.598,24134.422,0,0,0,0,0,0,0,0
A0AVT1,UBA6,1052,1:Experimental evidence at protein level,Ubiquitin-like modifier-activating enzyme 6,1,0.999,0,0,19220.732,6500.184,3182.198,0,0,0,0,0,0,0
A0FGR8-2,ESYT2,893,,Isoform 2 of Extended synaptotagmin-2,1,0.999,49418.75,143331.58,83913.36,95654.49,0,0,0,0,0,3556.4785,0,5849.3994
A0MZ66-3,SHTN1,649,,Isoform 3 of Shootin-1,1,0.999,77191.625,68625.05,181255.44,139839.1,6027.918,0,0,0,40321.73,0,6151.0566,0
A1L0T0,ILVBL,632,1:Experimental evidence at protein level,Acetolactate synthase-like protein,1,0.999,104352.53,110246.27,128036.32,125924.79,0,0,0,2860.26,8104.263,6102.958,4803.444,21417.592
A2RRP1-2,NBAS,2251,,Isoform 2 of Neuroblastoma-amplified sequence,0.9511,0.999,0,1671.689,0,0,0,0,0,0,0,0,0,0
A3KMH1-2,VWA8,1039,,Isoform 2 of von Willebrand factor A domain-containing protein 8,1,0.9966,10875.07,0,0,12872.441,0,0,0,0,0,0,0,0
A3KN83-2,SBNO1,1392,,Isoform 2 of Protein strawberry notch homolog 1,1,0.999,5779.9023,4854.8774,11821.787,0,0,0,0,0,0,0,0,0
A5YKK6,CNOT1,2376,1:Experimental evidence at protein level,CCR4-NOT transcription complex subunit 1,1,0.999,8929.344,51238.734,48523.08,35439.297,0,0,0,6228.993,0,0,0,1222.363
A6NCE7,MAP1LC3B2,125,2:Experimental evidence at transcript level,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.9446,0.9988,0,10561.919,0,9962.468,0,0,4343.0156,0,0,0,0,0
A6NCW0,USP17L3,530,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 17-like protein 3,0.7533,0.9935,418204.03,533181.9,420700.75,0,107849.805,0,0,0,0,0,83769.984,0
A6NDG6,PGP,321,1:Experimental evidence at protein level,Glycerol-3-phosphate phosphatase,1,0.999,64731.375,120248.12,179980.81,95649.234,0,0,0,0,8153.9243,0,12971.4,16202.589
A6NFQ2-2,TCAF2,845,,Isoform 2 of TRPM8 channel-associated factor 2,1,0.999,0,0,12727.02,20130.725,0,0,0,0,0,0,0,0
A6NGR9,MROH6,719,4:Protein predicted,Maestro heat-like repeat-containing protein family member 6,0.5327,0.9828,53889.383,71555.305,0,0,0,0,0,0,0,0,0,81932.73
A6NHR9-2,SMCHD1,1917,,Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1,0.999,3849.2456,13191.407,3095.4204,2630.1895,0,0,0,0,0,0,0,0
A6NHX0,CASTOR2,329,1:Experimental evidence at protein level,Cytosolic arginine sensor for mTORC1 subunit 2,0.9517,0.999,0,0,3788.7048,0,0,0,0,0,0,0,0,0
A6NI56,CCDC154,667,2:Experimental evidence at transcript level,Coiled-coil domain-containing protein 154,0.4826,0.979,0,0,25936.346,0,0,0,0,2966.925,0,0,0,7936.326
A8MT69,CENPX,81,1:Experimental evidence at protein level,Centromere protein X,0.9524,0.999,0,0,973.4125,0,0,0,0,0,0,0,0,0
A8MWD9,SNRPGP15,76,5:Protein uncertain,Putative small nuclear ribonucleoprotein G-like protein 15,1,0.999,117023.61,125723.69,140321.89,125982.29,9637.218,22631.389,25142.973,11999.891,30921.191,25283.578,24111.488,47416.96
B4DXR9,ZNF732,585,2:Experimental evidence at transcript level,Zinc finger protein 732,1,0.9983,8191.775,19427.922,17748.066,16893.664,0,0,0,0,0,0,0,0
B7ZAQ6-2,GPR89A,335,,Isoform 2 of Golgi pH regulator A,1,0.999,14913.41,36928.945,14151.454,16853.674,0,0,0,0,0,0,0,0
C4AMC7,WASH3P,463,1:Experimental evidence at protein level,Putative WAS protein family homolog 3,1,0.999,0,6294.082,22054.676,0,0,0,0,0,0,0,0,0
C9JI98,TMEM238,176,1:Experimental evidence at protein level,Transmembrane protein 238,0.9524,0.999,9189.131,12757.913,9642.657,10550.024,0,0,0,0,0,0,0,0
C9JLW8,MCRIP1,97,1:Experimental evidence at protein level,Mapk-regulated corepressor-interacting protein 1,0.9961,0.9973,0,0,0,17819.889,0,0,0,0,0,0,0,0
E9PAV3-2,NACA,925,,"Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1,0.999,404921.56,593262.75,624267.75,456009.72,81423.29,129113.08,11514.782,0,224967.92,150154.31,146341.14,243725.33
E9PQ53,NDUFC2-KCTD14,114,1:Experimental evidence at protein level,"NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",0.9524,0.999,0,0,7653.877,7213.138,0,0,0,0,0,0,0,0
E9PRG8,C11orf98,123,4:Protein predicted,Uncharacterized protein C11orf98,1,0.999,18954.963,39426.65,24856.816,22658.566,0,4473.814,4340.5166,0,7277.783,0,0,0
L0R6Q1,SLC35A4,103,3:Protein inferred from homology,SLC35A4 upstream open reading frame protein,1,0.999,16256.893,19242.232,17978.662,5073.176,0,0,0,0,0,0,0,0
